type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
MEMBER,gaiksaya,2,1.0,3.5,6.5,0.0,1.0
MEMBER,deshsidd,2,1.0,2.5,5.0,0.0,2.5
CONTRIBUTOR,aggarwalShivani,2,13.625,5.0,26.0,0.0,7.5
MEMBER,chishui,2,6.0,4.5,19.5,0.5,6.5
MEMBER,dbwiddis,2,0.8125,1.5,3.5,0.5,2.0
MEMBER,shwetathareja,1,0.25,7.0,14.0,0.0,0.0
CONTRIBUTOR,Ferrari248,1,17.0,4.0,28.0,10.0,9.0
MEMBER,qreshi,1,13.0,2.0,11.0,5.0,4.0
MEMBER,vikasvb90,1,1.0,3.0,10.0,2.0,6.0
MEMBER,rishabh6788,1,6.0,4.0,26.0,2.0,8.0
MEMBER,harshavamsi,1,0.125,3.0,3.0,0.0,0.0
MEMBER,peterzhuamazon,1,1.0,6.0,12.0,0.0,1.0
CONTRIBUTOR,Pranshu-S,1,2.0,4.0,4.0,0.0,0.0
MEMBER,owaiskazi19,1,11.0,4.0,31.0,11.0,18.0
MEMBER,neetikasinghal,1,3.0,4.0,14.0,3.0,2.0
MEMBER,martin-gaievski,1,1.0,4.0,18.0,7.0,6.0
MEMBER,kaushalmahi12,1,,4.0,11.0,0.0,2.0
MEMBER,gashutos,1,,5.0,11.0,0.0,0.0
CONTRIBUTOR,Zhikai-VM,1,3.0,4.0,17.0,3.0,0.0
MEMBER,dzane17,1,0.125,1.0,2.0,0.0,0.0
MEMBER,anshu1106,1,,1.0,5.0,0.0,5.0
MEMBER,ankitkala,1,1.0,3.0,6.0,1.0,2.0
MEMBER,amkhar,1,0.125,3.0,4.0,0.0,0.0
CONTRIBUTOR,samuel-oci,1,3.0,4.0,9.0,1.0,2.0
CONTRIBUTOR,gargharsh3134,1,,1.0,2.0,0.0,0.0
CONTRIBUTOR,niyatiagg,1,7.0,5.0,11.0,0.0,2.0
NONE,llilyy,1,,6.0,22.0,2.0,4.0
